City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
57,57,Esperance,AU,-33.8667,121.9,59.36,68,0,10.85,clear sky,2022-11-28 23:13:23
58,58,Kodiak,US,57.79,-152.4072,29.71,93,100,5.75,light snow,2022-11-28 23:13:23
59,59,Nurota,UZ,40.5614,65.6886,45.46,49,89,8.97,overcast clouds,2022-11-28 23:13:23
60,60,Sigli,ID,5.3848,95.9609,78.33,85,95,4.07,overcast clouds,2022-11-28 23:13:24
61,61,Tuatapere,NZ,-46.1333,167.6833,58.01,75,96,3.33,overcast clouds,2022-11-28 23:13:25
62,62,Sur,OM,22.5667,59.5289,75.43,62,65,3.62,broken clouds,2022-11-28 23:09:01
63,63,Barrow,US,71.2906,-156.7887,-16.58,76,0,12.66,clear sky,2022-11-28 23:13:25
64,64,Kavaratti,IN,10.5669,72.642,80.67,70,69,3.02,broken clouds,2022-11-28 23:13:26
65,65,Caravelas,BR,-17.7125,-39.2481,75.49,87,100,11.54,overcast clouds,2022-11-28 23:13:26
66,66,Hobart,AU,-42.8794,147.3294,56.26,63,75,13.8,broken clouds,2022-11-28 23:13:27
67,67,La Ronge,CA,55.1001,-105.2842,17.92,84,100,13.76,overcast clouds,2022-11-28 23:13:27
68,68,Cherskiy,RU,68.75,161.3,2.34,96,100,7.43,overcast clouds,2022-11-28 23:13:27
69,69,Yellowknife,CA,62.456,-114.3525,-10.44,69,98,11.01,overcast clouds,2022-11-28 23:13:28
70,70,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,90,100,10.36,overcast clouds,2022-11-28 23:13:28
71,71,Umm Lajj,SA,25.0213,37.2685,78.39,69,100,10.65,overcast clouds,2022-11-28 23:13:29
72,72,Puerto Cabello,VE,10.4731,-68.0125,77.47,85,100,5.41,overcast clouds,2022-11-28 23:13:29
73,73,Salinopolis,BR,-0.6136,-47.3561,80.24,79,84,10.4,broken clouds,2022-11-28 23:13:29
74,74,Hithadhoo,MV,-0.6,73.0833,80.74,75,22,7.58,few clouds,2022-11-28 23:13:30
75,75,Saint George,US,37.1041,-113.5841,55.44,32,0,3.44,clear sky,2022-11-28 23:09:43
76,76,Samarai,PG,-10.6167,150.6667,82.56,78,99,4.14,overcast clouds,2022-11-28 23:13:30
77,77,Clarence Town,AU,-32.5833,151.7833,73.81,39,5,7.14,clear sky,2022-11-28 23:13:31
78,78,Bengkulu,ID,-3.8004,102.2655,76.57,84,100,2.06,overcast clouds,2022-11-28 23:13:31
79,79,Merke,KZ,42.8728,73.1786,35.04,69,100,2.66,light snow,2022-11-28 23:13:31
80,80,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,81,5.95,broken clouds,2022-11-28 23:13:32
81,81,Monte Alegre,BR,-2.0078,-54.0692,78.53,76,69,2.73,broken clouds,2022-11-28 23:13:32
82,82,Atar,MR,20.5169,-13.0499,68.04,17,0,11.61,clear sky,2022-11-28 23:13:32
83,83,Jamestown,US,42.097,-79.2353,36.99,67,100,3.0,overcast clouds,2022-11-28 23:10:33
84,84,Boshnyakovo,RU,49.6333,142.1667,19.94,75,100,6.17,light snow,2022-11-28 23:13:33
85,85,Castro,BR,-24.7911,-50.0119,59.13,97,96,9.42,overcast clouds,2022-11-28 23:13:33
86,86,Santa Cruz,BO,-17.8,-63.1667,86.61,22,2,4.83,clear sky,2022-11-28 23:13:34
87,87,Tres Arroyos,AR,-38.3739,-60.2798,87.35,31,100,10.13,overcast clouds,2022-11-28 23:13:34
88,88,Marsh Harbour,BS,26.5412,-77.0636,78.51,77,48,10.76,scattered clouds,2022-11-28 23:13:35
89,89,Hualmay,PE,-11.0964,-77.6139,69.26,75,26,6.53,scattered clouds,2022-11-28 23:14:35
90,90,Abu Samrah,SY,35.3029,37.1841,56.71,64,100,10.02,overcast clouds,2022-11-28 23:14:35
91,91,Urusha,RU,54.05,122.9,-15.72,87,100,4.88,overcast clouds,2022-11-28 23:14:36
92,92,Punta Arenas,CL,-53.15,-70.9167,57.31,51,40,21.85,scattered clouds,2022-11-28 23:14:37
93,93,Tasiilaq,GL,65.6145,-37.6368,30.36,66,93,9.22,overcast clouds,2022-11-28 23:14:37
94,94,New Norfolk,AU,-42.7826,147.0587,55.92,56,81,5.99,broken clouds,2022-11-28 23:14:37
95,95,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,91,45,22.44,moderate rain,2022-11-28 23:14:38
96,96,Narsaq,GL,60.9167,-46.05,44.82,91,100,1.97,overcast clouds,2022-11-28 23:14:38
97,97,Calvia,ES,39.5657,2.5062,55.92,69,8,1.45,clear sky,2022-11-28 23:14:38
98,98,Buncrana,IE,55.1333,-7.45,47.66,82,65,3.65,broken clouds,2022-11-28 23:14:39
99,99,Sabha,LY,27.0377,14.4283,57.81,65,38,7.63,scattered clouds,2022-11-28 23:14:39
100,100,Karratha,AU,-20.7377,116.8463,80.11,61,25,17.36,scattered clouds,2022-11-28 23:14:41
101,101,Kananga,CD,-5.8958,22.4178,68.02,96,94,0.07,overcast clouds,2022-11-28 23:14:41
